hccis_id,rpt_year,code,value,owner_hccis_id
1,2019,7479,20,1
1,2019,7480,,1
1,2019,7481,,1
1,2019,7482,,1
1,2019,7483,,1
1,2019,7484,,1
1,2019,7485,,1
1,2019,7486,,1
1,2019,7487,20,1
1,2019,7488,,1
1,2019,7489,,1
1,2019,7490,,1
1,2019,7491,,1
1,2019,7492,,1
1,2019,7493,,1
1,2019,7494,,1
1,2019,7495,,1
1,2019,7496,,1
1,2019,7497,,1
1,2019,7498,1,1
1,2019,7499,1,1
1,2019,7500,,1
1,2019,7502,,1
1,2019,7503,,1
1,2019,7504,,1
1,2019,7505,,1
1,2019,7506,24,1
1,2019,7507,,1
1,2019,7508,166,1
1,2019,7509,,1
1,2019,7510,3,1
1,2019,7511,11,1
1,2019,7512,,1
1,2019,7513,67,1
1,2019,7514,613,1
1,2019,7515,,1
1,2019,7516,,1
1,2019,7517,,1
1,2019,7518,,1
1,2019,7519,,1
1,2019,7520,,1
1,2019,7521,,1
1,2019,7522,,1
1,2019,6170,2,1
1,2019,6165,,1
1,2019,6164,,1
1,2019,6161,,1
1,2019,6160,2,1
1,2019,6155,,1
1,2019,6154,,1
1,2019,6151,,1
1,2019,6150,2,1
1,2019,6145,,1
1,2019,6144,,1
1,2019,6141,,1
1,2019,6140,2,1
1,2019,6131,2,1
1,2019,6130,2,1
1,2019,6124,117,1
1,2019,6123,114,1
1,2019,6122,3,1
1,2019,6114,170,1
1,2019,6113,170,1
1,2019,6112,,1
1,2019,6110,3,1
1,2019,6101,2,1
1,2019,6100,2,1
1,2019,6094,,1
1,2019,6093,,1
1,2019,6092,,1
1,2019,6090,2,1
1,2019,6080,1,1
1,2019,6070,2,1
1,2019,6054,373,1
1,2019,6053,349,1
1,2019,6052,24,1
1,2019,6051,1,1
1,2019,6040,2,1
1,2019,6034,,1
1,2019,6030,2,1
1,2019,6020,2,1
1,2019,6010,2,1
1,2019,5512,-7326,1
1,2019,5507,-16009,1
1,2019,5506,31419,1
1,2019,5504,-95856,1
1,2019,5503,-148290,1
1,2019,5502,191480,1
1,2019,5501,357046,1
1,2019,5200,,1
1,2019,5102,,1
1,2019,5101,,1
1,2019,4540,0.07,1
