GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALT1E001,ALT1E002,ALT1E003,NAME_M,ALT1M001,ALT1M002,ALT1M003
G1801730,2015-2019,IN,,,Indiana,18,Warrick County,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US18173,,,"Warrick County, Indiana",41.2,40.3,42.1,"Warrick County, Indiana",0.5,0.8,0.7
G1801750,2015-2019,IN,,,Indiana,18,Washington County,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US18175,,,"Washington County, Indiana",41.6,40.5,42.7,"Washington County, Indiana",0.5,0.6,0.6
G1801770,2015-2019,IN,,,Indiana,18,Wayne County,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US18177,,,"Wayne County, Indiana",40.6,39,42.8,"Wayne County, Indiana",0.3,0.6,0.8
G1801790,2015-2019,IN,,,Indiana,18,Wells County,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US18179,,,"Wells County, Indiana",40.3,38.3,41.8,"Wells County, Indiana",0.8,1.1,0.7
G1801810,2015-2019,IN,,,Indiana,18,White County,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US18181,,,"White County, Indiana",42,41,43.3,"White County, Indiana",0.6,1,1.1
G1801830,2015-2019,IN,,,Indiana,18,Whitley County,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US18183,,,"Whitley County, Indiana",41.8,39.7,42.8,"Whitley County, Indiana",0.9,0.7,0.5
G1900010,2015-2019,IA,,,Iowa,19,Adair County,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19001,,,"Adair County, Iowa",45.4,44,48.2,"Adair County, Iowa",0.5,0.9,0.6
G1900030,2015-2019,IA,,,Iowa,19,Adams County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19003,,,"Adams County, Iowa",47.3,45.9,48.4,"Adams County, Iowa",0.4,0.9,0.6
G1900050,2015-2019,IA,,,Iowa,19,Allamakee County,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19005,,,"Allamakee County, Iowa",44.4,43.1,46.1,"Allamakee County, Iowa",0.8,0.8,1
G1900070,2015-2019,IA,,,Iowa,19,Appanoose County,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19007,,,"Appanoose County, Iowa",45.7,44.4,47.1,"Appanoose County, Iowa",0.5,0.4,0.7
G1900090,2015-2019,IA,,,Iowa,19,Audubon County,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19009,,,"Audubon County, Iowa",48.1,46.9,50.1,"Audubon County, Iowa",0.5,1.1,0.8
G1900110,2015-2019,IA,,,Iowa,19,Benton County,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19011,,,"Benton County, Iowa",42.6,41.6,43.5,"Benton County, Iowa",0.4,0.7,0.6
G1900130,2015-2019,IA,,,Iowa,19,Black Hawk County,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19013,,,"Black Hawk County, Iowa",35.2,33.9,36.1,"Black Hawk County, Iowa",0.2,0.2,0.2
G1900150,2015-2019,IA,,,Iowa,19,Boone County,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19015,,,"Boone County, Iowa",41.8,40.2,43.2,"Boone County, Iowa",0.8,0.7,0.6
G1900170,2015-2019,IA,,,Iowa,19,Bremer County,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19017,,,"Bremer County, Iowa",39.8,38.8,40.7,"Bremer County, Iowa",0.5,0.6,0.8
G1900190,2015-2019,IA,,,Iowa,19,Buchanan County,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19019,,,"Buchanan County, Iowa",39.1,38.5,40,"Buchanan County, Iowa",0.8,0.8,0.9
G1900210,2015-2019,IA,,,Iowa,19,Buena Vista County,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19021,,,"Buena Vista County, Iowa",35,34.2,35.4,"Buena Vista County, Iowa",0.3,1.2,0.4
G1900230,2015-2019,IA,,,Iowa,19,Butler County,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19023,,,"Butler County, Iowa",43.9,42.5,46,"Butler County, Iowa",0.5,0.6,0.4
G1900250,2015-2019,IA,,,Iowa,19,Calhoun County,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19025,,,"Calhoun County, Iowa",44.6,41.6,48.5,"Calhoun County, Iowa",0.5,1.7,0.8
G1900270,2015-2019,IA,,,Iowa,19,Carroll County,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19027,,,"Carroll County, Iowa",42,40.4,43.4,"Carroll County, Iowa",0.6,0.8,0.6
G1900290,2015-2019,IA,,,Iowa,19,Cass County,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19029,,,"Cass County, Iowa",44.9,43.5,48.3,"Cass County, Iowa",0.6,0.2,1.1
G1900310,2015-2019,IA,,,Iowa,19,Cedar County,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19031,,,"Cedar County, Iowa",42.7,41.6,44.2,"Cedar County, Iowa",0.6,0.5,0.8
G1900330,2015-2019,IA,,,Iowa,19,Cerro Gordo County,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19033,,,"Cerro Gordo County, Iowa",44.3,41.4,46.6,"Cerro Gordo County, Iowa",0.3,0.9,0.7
G1900350,2015-2019,IA,,,Iowa,19,Cherokee County,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19035,,,"Cherokee County, Iowa",46.3,44.1,47.9,"Cherokee County, Iowa",0.8,2.6,1.9
G1900370,2015-2019,IA,,,Iowa,19,Chickasaw County,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19037,,,"Chickasaw County, Iowa",44.5,44.3,44.8,"Chickasaw County, Iowa",0.3,0.6,0.5
G1900390,2015-2019,IA,,,Iowa,19,Clarke County,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19039,,,"Clarke County, Iowa",40.5,39.2,43,"Clarke County, Iowa",2.5,2.1,2.9
G1900410,2015-2019,IA,,,Iowa,19,Clay County,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19041,,,"Clay County, Iowa",42.9,41.8,44,"Clay County, Iowa",0.9,0.9,0.9
G1900430,2015-2019,IA,,,Iowa,19,Clayton County,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19043,,,"Clayton County, Iowa",47.3,45.9,48.4,"Clayton County, Iowa",1,0.6,0.5
G1900450,2015-2019,IA,,,Iowa,19,Clinton County,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19045,,,"Clinton County, Iowa",42.2,41.5,42.9,"Clinton County, Iowa",0.5,0.5,0.6
G1900470,2015-2019,IA,,,Iowa,19,Crawford County,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19047,,,"Crawford County, Iowa",38.7,37.7,39.2,"Crawford County, Iowa",0.8,1.7,2
G1900490,2015-2019,IA,,,Iowa,19,Dallas County,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19049,,,"Dallas County, Iowa",35.4,34.8,35.9,"Dallas County, Iowa",0.2,0.3,0.3
G1900510,2015-2019,IA,,,Iowa,19,Davis County,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19051,,,"Davis County, Iowa",36.8,36.4,37.2,"Davis County, Iowa",0.5,0.6,0.4
G1900530,2015-2019,IA,,,Iowa,19,Decatur County,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19053,,,"Decatur County, Iowa",36.4,34.5,37.9,"Decatur County, Iowa",0.9,0.6,0.7
G1900550,2015-2019,IA,,,Iowa,19,Delaware County,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19055,,,"Delaware County, Iowa",43.8,43.3,44.6,"Delaware County, Iowa",0.4,0.6,0.6
G1900570,2015-2019,IA,,,Iowa,19,Des Moines County,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19057,,,"Des Moines County, Iowa",42.9,41.7,43.9,"Des Moines County, Iowa",0.5,1,0.6
G1900590,2015-2019,IA,,,Iowa,19,Dickinson County,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19059,,,"Dickinson County, Iowa",48.4,46.7,50.7,"Dickinson County, Iowa",0.4,0.5,0.7
G1900610,2015-2019,IA,,,Iowa,19,Dubuque County,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19061,,,"Dubuque County, Iowa",38.6,37,40.2,"Dubuque County, Iowa",0.4,0.4,0.4
G1900630,2015-2019,IA,,,Iowa,19,Emmet County,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19063,,,"Emmet County, Iowa",42.9,41.6,44.7,"Emmet County, Iowa",1.2,2,2.5
G1900650,2015-2019,IA,,,Iowa,19,Fayette County,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19065,,,"Fayette County, Iowa",43.8,41.8,45.6,"Fayette County, Iowa",0.5,1.2,0.9
G1900670,2015-2019,IA,,,Iowa,19,Floyd County,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19067,,,"Floyd County, Iowa",44.1,41.3,45.6,"Floyd County, Iowa",0.7,0.7,0.6
G1900690,2015-2019,IA,,,Iowa,19,Franklin County,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19069,,,"Franklin County, Iowa",42.7,40.1,45,"Franklin County, Iowa",1,1.5,1.6
G1900710,2015-2019,IA,,,Iowa,19,Fremont County,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19071,,,"Fremont County, Iowa",46.2,44.9,47.3,"Fremont County, Iowa",0.7,0.8,1.7
G1900730,2015-2019,IA,,,Iowa,19,Greene County,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19073,,,"Greene County, Iowa",44.5,42.6,47.1,"Greene County, Iowa",0.7,1.5,0.7
G1900750,2015-2019,IA,,,Iowa,19,Grundy County,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19075,,,"Grundy County, Iowa",42.6,41.7,43.8,"Grundy County, Iowa",0.5,0.8,0.8
G1900770,2015-2019,IA,,,Iowa,19,Guthrie County,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19077,,,"Guthrie County, Iowa",45.5,44.6,46.4,"Guthrie County, Iowa",0.4,0.7,0.6
G1900790,2015-2019,IA,,,Iowa,19,Hamilton County,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19079,,,"Hamilton County, Iowa",42.6,41.5,44.3,"Hamilton County, Iowa",0.8,0.9,0.7
G1900810,2015-2019,IA,,,Iowa,19,Hancock County,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19081,,,"Hancock County, Iowa",44.2,41.7,45.5,"Hancock County, Iowa",0.6,1.5,0.5
G1900830,2015-2019,IA,,,Iowa,19,Hardin County,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19083,,,"Hardin County, Iowa",44.7,42,47.5,"Hardin County, Iowa",0.3,0.8,0.5
G1900850,2015-2019,IA,,,Iowa,19,Harrison County,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19085,,,"Harrison County, Iowa",44,42.3,45,"Harrison County, Iowa",0.4,0.9,0.3
G1900870,2015-2019,IA,,,Iowa,19,Henry County,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19087,,,"Henry County, Iowa",39.7,38.6,41.1,"Henry County, Iowa",0.6,0.8,0.8
G1900890,2015-2019,IA,,,Iowa,19,Howard County,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19089,,,"Howard County, Iowa",41.5,41.1,42.5,"Howard County, Iowa",0.7,1.5,1.3
G1900910,2015-2019,IA,,,Iowa,19,Humboldt County,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19091,,,"Humboldt County, Iowa",42.9,41.7,44,"Humboldt County, Iowa",0.9,1.2,0.7
G1900930,2015-2019,IA,,,Iowa,19,Ida County,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19093,,,"Ida County, Iowa",43.7,41.9,46,"Ida County, Iowa",0.7,1.7,0.9
G1900950,2015-2019,IA,,,Iowa,19,Iowa County,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19095,,,"Iowa County, Iowa",41.7,40.5,42.9,"Iowa County, Iowa",0.5,0.9,1.4
G1900970,2015-2019,IA,,,Iowa,19,Jackson County,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19097,,,"Jackson County, Iowa",44.3,42.7,46.2,"Jackson County, Iowa",1.1,1.2,0.5
G1900990,2015-2019,IA,,,Iowa,19,Jasper County,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19099,,,"Jasper County, Iowa",42.1,40.2,44.3,"Jasper County, Iowa",0.4,0.6,0.4
G1901010,2015-2019,IA,,,Iowa,19,Jefferson County,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19101,,,"Jefferson County, Iowa",42.9,42.2,43.3,"Jefferson County, Iowa",1,2.7,1.4
G1901030,2015-2019,IA,,,Iowa,19,Johnson County,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19103,,,"Johnson County, Iowa",30.3,30.1,30.5,"Johnson County, Iowa",0.2,0.2,0.2
G1901050,2015-2019,IA,,,Iowa,19,Jones County,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19105,,,"Jones County, Iowa",43.1,42.1,44.6,"Jones County, Iowa",0.6,0.8,0.5
G1901070,2015-2019,IA,,,Iowa,19,Keokuk County,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19107,,,"Keokuk County, Iowa",43.7,41.8,45.4,"Keokuk County, Iowa",0.5,1.2,0.3
G1901090,2015-2019,IA,,,Iowa,19,Kossuth County,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19109,,,"Kossuth County, Iowa",45.5,44,46.9,"Kossuth County, Iowa",0.3,1,0.8
G1901110,2015-2019,IA,,,Iowa,19,Lee County,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19111,,,"Lee County, Iowa",43.1,41.5,45.1,"Lee County, Iowa",0.6,1.1,0.4
G1901130,2015-2019,IA,,,Iowa,19,Linn County,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19113,,,"Linn County, Iowa",37.7,36.6,38.9,"Linn County, Iowa",0.2,0.2,0.3
G1901150,2015-2019,IA,,,Iowa,19,Louisa County,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19115,,,"Louisa County, Iowa",41.9,39.9,43.1,"Louisa County, Iowa",1,2,1.3
G1901170,2015-2019,IA,,,Iowa,19,Lucas County,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19117,,,"Lucas County, Iowa",44.2,42.1,45.5,"Lucas County, Iowa",0.8,1.2,0.6
G1901190,2015-2019,IA,,,Iowa,19,Lyon County,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19119,,,"Lyon County, Iowa",38,36.6,39.6,"Lyon County, Iowa",0.5,0.7,0.9
G1901210,2015-2019,IA,,,Iowa,19,Madison County,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19121,,,"Madison County, Iowa",40.7,40.2,41.7,"Madison County, Iowa",1.2,1.5,2.6
G1901230,2015-2019,IA,,,Iowa,19,Mahaska County,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19123,,,"Mahaska County, Iowa",39.3,38,40.8,"Mahaska County, Iowa",0.8,0.8,0.7
G1901250,2015-2019,IA,,,Iowa,19,Marion County,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19125,,,"Marion County, Iowa",39.4,38.1,41,"Marion County, Iowa",0.5,0.8,1
G1901270,2015-2019,IA,,,Iowa,19,Marshall County,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19127,,,"Marshall County, Iowa",38.7,37.4,40.1,"Marshall County, Iowa",0.4,0.9,0.7
G1901290,2015-2019,IA,,,Iowa,19,Mills County,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19129,,,"Mills County, Iowa",42.5,42.3,43.1,"Mills County, Iowa",0.7,0.8,1.4
G1901310,2015-2019,IA,,,Iowa,19,Mitchell County,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19131,,,"Mitchell County, Iowa",43.6,41.7,46,"Mitchell County, Iowa",0.8,0.9,0.9
G1901330,2015-2019,IA,,,Iowa,19,Monona County,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19133,,,"Monona County, Iowa",46,44.7,46.8,"Monona County, Iowa",0.4,0.8,0.8
G1901350,2015-2019,IA,,,Iowa,19,Monroe County,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19135,,,"Monroe County, Iowa",43,41.9,44.2,"Monroe County, Iowa",1.5,1.9,2.2
G1901370,2015-2019,IA,,,Iowa,19,Montgomery County,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19137,,,"Montgomery County, Iowa",44.2,43.5,45.3,"Montgomery County, Iowa",0.9,1.3,0.8
G1901390,2015-2019,IA,,,Iowa,19,Muscatine County,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19139,,,"Muscatine County, Iowa",38.1,37,39,"Muscatine County, Iowa",0.5,0.7,0.7
G1901410,2015-2019,IA,,,Iowa,19,O'Brien County,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19141,,,"O'Brien County, Iowa",41.9,40.9,43.4,"O'Brien County, Iowa",0.7,0.4,1.1
G1901430,2015-2019,IA,,,Iowa,19,Osceola County,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19143,,,"Osceola County, Iowa",44,40.8,47,"Osceola County, Iowa",1.2,2,0.6
G1901450,2015-2019,IA,,,Iowa,19,Page County,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19145,,,"Page County, Iowa",44.1,41.8,46.8,"Page County, Iowa",0.5,1,0.7
G1901470,2015-2019,IA,,,Iowa,19,Palo Alto County,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19147,,,"Palo Alto County, Iowa",41.4,38.8,44.6,"Palo Alto County, Iowa",0.9,1.9,0.7
G1901490,2015-2019,IA,,,Iowa,19,Plymouth County,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19149,,,"Plymouth County, Iowa",40,39.2,41.6,"Plymouth County, Iowa",0.7,0.6,1.1
G1901510,2015-2019,IA,,,Iowa,19,Pocahontas County,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19151,,,"Pocahontas County, Iowa",47.6,45.6,49.1,"Pocahontas County, Iowa",0.7,0.8,2
G1901530,2015-2019,IA,,,Iowa,19,Polk County,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19153,,,"Polk County, Iowa",35.5,34.7,36.3,"Polk County, Iowa",0.1,0.1,0.2
G1901550,2015-2019,IA,,,Iowa,19,Pottawattamie County,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19155,,,"Pottawattamie County, Iowa",39.7,38.4,41.5,"Pottawattamie County, Iowa",0.3,0.4,0.5
G1901570,2015-2019,IA,,,Iowa,19,Poweshiek County,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19157,,,"Poweshiek County, Iowa",40.5,39.6,41.2,"Poweshiek County, Iowa",0.5,0.9,1.1
G1901590,2015-2019,IA,,,Iowa,19,Ringgold County,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19159,,,"Ringgold County, Iowa",44,41.4,46.6,"Ringgold County, Iowa",0.5,1.1,1.4
G1901610,2015-2019,IA,,,Iowa,19,Sac County,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19161,,,"Sac County, Iowa",46.1,43.8,48.7,"Sac County, Iowa",0.4,0.5,0.7
G1901630,2015-2019,IA,,,Iowa,19,Scott County,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19163,,,"Scott County, Iowa",38.3,37.3,39.3,"Scott County, Iowa",0.2,0.3,0.3
G1901650,2015-2019,IA,,,Iowa,19,Shelby County,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19165,,,"Shelby County, Iowa",46.4,44.7,47.5,"Shelby County, Iowa",0.7,0.5,0.5
G1901670,2015-2019,IA,,,Iowa,19,Sioux County,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19167,,,"Sioux County, Iowa",33.4,32.4,34.7,"Sioux County, Iowa",0.4,0.4,0.2
G1901690,2015-2019,IA,,,Iowa,19,Story County,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19169,,,"Story County, Iowa",26.6,25.3,28,"Story County, Iowa",0.2,0.3,0.3
G1901710,2015-2019,IA,,,Iowa,19,Tama County,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19171,,,"Tama County, Iowa",42.6,41.9,43.5,"Tama County, Iowa",0.7,0.8,0.9
G1901730,2015-2019,IA,,,Iowa,19,Taylor County,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19173,,,"Taylor County, Iowa",42.3,40,44.8,"Taylor County, Iowa",1.2,1.3,0.9
G1901750,2015-2019,IA,,,Iowa,19,Union County,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19175,,,"Union County, Iowa",40.3,39.3,41.4,"Union County, Iowa",0.9,0.6,0.8
G1901770,2015-2019,IA,,,Iowa,19,Van Buren County,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19177,,,"Van Buren County, Iowa",45.4,43.9,47,"Van Buren County, Iowa",1.1,0.6,0.8
G1901790,2015-2019,IA,,,Iowa,19,Wapello County,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19179,,,"Wapello County, Iowa",39.6,38,41,"Wapello County, Iowa",0.5,1,0.8
G1901810,2015-2019,IA,,,Iowa,19,Warren County,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19181,,,"Warren County, Iowa",38.3,37.4,39.3,"Warren County, Iowa",0.4,0.6,0.6
G1901830,2015-2019,IA,,,Iowa,19,Washington County,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19183,,,"Washington County, Iowa",40.3,38.8,41.6,"Washington County, Iowa",0.5,0.6,0.7
G1901850,2015-2019,IA,,,Iowa,19,Wayne County,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19185,,,"Wayne County, Iowa",43.2,42.2,43.8,"Wayne County, Iowa",0.7,1.5,0.5
G1901870,2015-2019,IA,,,Iowa,19,Webster County,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19187,,,"Webster County, Iowa",39,36.3,42.5,"Webster County, Iowa",0.6,0.4,0.6
G1901890,2015-2019,IA,,,Iowa,19,Winnebago County,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19189,,,"Winnebago County, Iowa",41.8,40.1,43.9,"Winnebago County, Iowa",1.2,0.9,1.5
G1901910,2015-2019,IA,,,Iowa,19,Winneshiek County,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19191,,,"Winneshiek County, Iowa",41.5,40.7,42.3,"Winneshiek County, Iowa",0.7,0.5,0.8
G1901930,2015-2019,IA,,,Iowa,19,Woodbury County,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19193,,,"Woodbury County, Iowa",35.8,34.6,37,"Woodbury County, Iowa",0.2,0.2,0.3
G1901950,2015-2019,IA,,,Iowa,19,Worth County,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19195,,,"Worth County, Iowa",43.9,43.1,45.6,"Worth County, Iowa",0.5,0.8,1.2
G1901970,2015-2019,IA,,,Iowa,19,Wright County,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US19197,,,"Wright County, Iowa",43.5,42.3,44.5,"Wright County, Iowa",0.7,2.1,0.7
G2000010,2015-2019,KS,,,Kansas,20,Allen County,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US20001,,,"Allen County, Kansas",41.9,38.9,45.2,"Allen County, Kansas",1.2,1.3,1.2
G2000030,2015-2019,KS,,,Kansas,20,Anderson County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US20003,,,"Anderson County, Kansas",40.8,40,42.8,"Anderson County, Kansas",1.4,3.2,2.3
G2000050,2015-2019,KS,,,Kansas,20,Atchison County,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US20005,,,"Atchison County, Kansas",36.6,36,36.7,"Atchison County, Kansas",0.8,2.1,0.9
G2000070,2015-2019,KS,,,Kansas,20,Barber County,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US20007,,,"Barber County, Kansas",43.6,43.4,44,"Barber County, Kansas",3.6,5,3.6
G2000090,2015-2019,KS,,,Kansas,20,Barton County,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US20009,,,"Barton County, Kansas",39.9,38.8,40.6,"Barton County, Kansas",0.9,1.4,1.3
G2000110,2015-2019,KS,,,Kansas,20,Bourbon County,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US20011,,,"Bourbon County, Kansas",39.1,36.6,42,"Bourbon County, Kansas",1.3,0.8,1.2
G2000130,2015-2019,KS,,,Kansas,20,Brown County,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US20013,,,"Brown County, Kansas",42.1,41.2,43.3,"Brown County, Kansas",0.7,1.9,0.9
G2000150,2015-2019,KS,,,Kansas,20,Butler County,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US20015,,,"Butler County, Kansas",38.6,36.8,40.1,"Butler County, Kansas",0.4,0.4,0.5
G2000170,2015-2019,KS,,,Kansas,20,Chase County,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US20017,,,"Chase County, Kansas",44.8,42.4,47.9,"Chase County, Kansas",0.4,1.7,1.6
G2000190,2015-2019,KS,,,Kansas,20,Chautauqua County,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US20019,,,"Chautauqua County, Kansas",47.9,43,51,"Chautauqua County, Kansas",0.9,1.5,1
G2000210,2015-2019,KS,,,Kansas,20,Cherokee County,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US20021,,,"Cherokee County, Kansas",41.3,40.3,43.6,"Cherokee County, Kansas",0.9,0.8,1
G2000230,2015-2019,KS,,,Kansas,20,Cheyenne County,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US20023,,,"Cheyenne County, Kansas",45.6,44.4,50.1,"Cheyenne County, Kansas",0.6,0.6,3.6
