periodyear,edr,key,value,quarter,year.quarter,planning.region
2014,EDR 3 - Arrowhead,avgemp,137082,1,2014.1,Northeast
2013,EDR 3 - Arrowhead,avgemp,136475,1,2013.1,Northeast
2012,EDR 3 - Arrowhead,avgemp,133932,1,2012.1,Northeast
2021,EDR 4 - West Central,avgemp,84170,1,2021.1,Northwest
2020,EDR 4 - West Central,avgemp,87991,1,2020.1,Northwest
2019,EDR 4 - West Central,avgemp,87315,1,2019.1,Northwest
2018,EDR 4 - West Central,avgemp,86584,1,2018.1,Northwest
2017,EDR 4 - West Central,avgemp,86353,1,2017.1,Northwest
2016,EDR 4 - West Central,avgemp,84951,1,2016.1,Northwest
2015,EDR 4 - West Central,avgemp,83891,1,2015.1,Northwest
2014,EDR 4 - West Central,avgemp,83271,1,2014.1,Northwest
2013,EDR 4 - West Central,avgemp,82087,1,2013.1,Northwest
2012,EDR 4 - West Central,avgemp,80881,1,2012.1,Northwest
2021,EDR 5 - North Central,avgemp,59992,1,2021.1,Northwest
2020,EDR 5 - North Central,avgemp,60354,1,2020.1,Northwest
2019,EDR 5 - North Central,avgemp,59873,1,2019.1,Northwest
2018,EDR 5 - North Central,avgemp,59924,1,2018.1,Northwest
2017,EDR 5 - North Central,avgemp,59440,1,2017.1,Northwest
2016,EDR 5 - North Central,avgemp,58275,1,2016.1,Northwest
2015,EDR 5 - North Central,avgemp,57671,1,2015.1,Northwest
2014,EDR 5 - North Central,avgemp,57281,1,2014.1,Northwest
2013,EDR 5 - North Central,avgemp,56968,1,2013.1,Northwest
2012,EDR 5 - North Central,avgemp,55359,1,2012.1,Northwest
2021,EDR 6E- Southwest Central,avgemp,49094,1,2021.1,Central
2020,EDR 6E- Southwest Central,avgemp,51634,1,2020.1,Central
2019,EDR 6E- Southwest Central,avgemp,52161,1,2019.1,Central
2018,EDR 6E- Southwest Central,avgemp,52666,1,2018.1,Central
2017,EDR 6E- Southwest Central,avgemp,52433,1,2017.1,Central
2016,EDR 6E- Southwest Central,avgemp,51206,1,2016.1,Central
2015,EDR 6E- Southwest Central,avgemp,51569,1,2015.1,Central
2014,EDR 6E- Southwest Central,avgemp,50105,1,2014.1,Central
2013,EDR 6E- Southwest Central,avgemp,49743,1,2013.1,Central
2012,EDR 6E- Southwest Central,avgemp,49239,1,2012.1,Central
2021,EDR 6W- Upper Minnesota Valley,avgemp,15738,1,2021.1,Southwest
2020,EDR 6W- Upper Minnesota Valley,avgemp,16616,1,2020.1,Southwest
2019,EDR 6W- Upper Minnesota Valley,avgemp,16898,1,2019.1,Southwest
2018,EDR 6W- Upper Minnesota Valley,avgemp,16910,1,2018.1,Southwest
2017,EDR 6W- Upper Minnesota Valley,avgemp,17001,1,2017.1,Southwest
2016,EDR 6W- Upper Minnesota Valley,avgemp,16839,1,2016.1,Southwest
2015,EDR 6W- Upper Minnesota Valley,avgemp,16837,1,2015.1,Southwest
2014,EDR 6W- Upper Minnesota Valley,avgemp,16906,1,2014.1,Southwest
2013,EDR 6W- Upper Minnesota Valley,avgemp,17016,1,2013.1,Southwest
2012,EDR 6W- Upper Minnesota Valley,avgemp,17576,1,2012.1,Southwest
2021,EDR 7E- East Central,avgemp,45506,1,2021.1,Central
2020,EDR 7E- East Central,avgemp,47846,1,2020.1,Central
2019,EDR 7E- East Central,avgemp,47297,1,2019.1,Central
2018,EDR 7E- East Central,avgemp,46948,1,2018.1,Central
2017,EDR 7E- East Central,avgemp,46970,1,2017.1,Central
2016,EDR 7E- East Central,avgemp,46402,1,2016.1,Central
2015,EDR 7E- East Central,avgemp,45515,1,2015.1,Central
