Month,County,Tax Rate,Year Imposed,year,local.sales.tax.revenue,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region,MIF Region
January,Chisago,5.0000000000000001E-3,2016,2004,-,025,D,Entirely urban,EDR 7E- East Central,Central,EC
February,Chisago,5.0000000000000001E-3,2016,2004,-,025,D,Entirely urban,EDR 7E- East Central,Central,EC
March,Chisago,5.0000000000000001E-3,2016,2004,-,025,D,Entirely urban,EDR 7E- East Central,Central,EC
April,Chisago,5.0000000000000001E-3,2016,2004,-,025,D,Entirely urban,EDR 7E- East Central,Central,EC
May,Chisago,5.0000000000000001E-3,2016,2004,-,025,D,Entirely urban,EDR 7E- East Central,Central,EC
June,Chisago,5.0000000000000001E-3,2016,2004,-,025,D,Entirely urban,EDR 7E- East Central,Central,EC
July,Chisago,5.0000000000000001E-3,2016,2004,-,025,D,Entirely urban,EDR 7E- East Central,Central,EC
August,Chisago,5.0000000000000001E-3,2016,2004,-,025,D,Entirely urban,EDR 7E- East Central,Central,EC
September,Chisago,5.0000000000000001E-3,2016,2004,-,025,D,Entirely urban,EDR 7E- East Central,Central,EC
October,Chisago,5.0000000000000001E-3,2016,2004,-,025,D,Entirely urban,EDR 7E- East Central,Central,EC
November,Chisago,5.0000000000000001E-3,2016,2004,-,025,D,Entirely urban,EDR 7E- East Central,Central,EC
December,Chisago,5.0000000000000001E-3,2016,2004,-,025,D,Entirely urban,EDR 7E- East Central,Central,EC
Total,Chisago,5.0000000000000001E-3,2016,2004,-,025,D,Entirely urban,EDR 7E- East Central,Central,EC
January,Cook,5.0000000000000001E-3,2017,2004,-,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
February,Cook,5.0000000000000001E-3,2017,2004,-,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
March,Cook,5.0000000000000001E-3,2017,2004,-,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
April,Cook,5.0000000000000001E-3,2017,2004,-,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
May,Cook,5.0000000000000001E-3,2017,2004,-,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
