Month,years.effective,sales.tax.rate,city,year,local.sales.tax.revenue,County,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region,mif
November,2004-2020,0.05,Elk River,2007,-,Sherburne,141,D,Entirely urban,EDR 7W- Central,Central,EC
December,2004-2020,0.05,Elk River,2007,-,Sherburne,141,D,Entirely urban,EDR 7W- Central,Central,EC
Total,2004-2020,0.05,Elk River,2007,-,Sherburne,141,D,Entirely urban,EDR 7W- Central,Central,EC
January,2004-2020,0.05,Excelsior,2007,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
February,2004-2020,0.05,Excelsior,2007,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
March,2004-2020,0.05,Excelsior,2007,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
April,2004-2020,0.05,Excelsior,2007,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
May,2004-2020,0.05,Excelsior,2007,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
June,2004-2020,0.05,Excelsior,2007,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
July,2004-2020,0.05,Excelsior,2007,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
August,2004-2020,0.05,Excelsior,2007,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
September,2004-2020,0.05,Excelsior,2007,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
October,2004-2020,0.05,Excelsior,2007,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
November,2004-2020,0.05,Excelsior,2007,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
December,2004-2020,0.05,Excelsior,2007,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
Total,2004-2020,0.05,Excelsior,2007,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
January,2004-2020,0.05,Fairmont,2007,-,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
February,2004-2020,0.05,Fairmont,2007,-,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
March,2004-2020,0.05,Fairmont,2007,-,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
April,2004-2020,0.05,Fairmont,2007,-,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
May,2004-2020,0.05,Fairmont,2007,-,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
June,2004-2020,0.05,Fairmont,2007,-,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
July,2004-2020,0.05,Fairmont,2007,-,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
August,2004-2020,0.05,Fairmont,2007,-,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
September,2004-2020,0.05,Fairmont,2007,-,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
October,2004-2020,0.05,Fairmont,2007,-,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
November,2004-2020,0.05,Fairmont,2007,-,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
December,2004-2020,0.05,Fairmont,2007,-,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
Total,2004-2020,0.05,Fairmont,2007,-,Martin,091,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
January,2004-2020,0.05,Fergus Falls,2007,-,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
February,2004-2020,0.05,Fergus Falls,2007,-,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
March,2004-2020,0.05,Fergus Falls,2007,-,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
April,2004-2020,0.05,Fergus Falls,2007,-,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
May,2004-2020,0.05,Fergus Falls,2007,-,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
June,2004-2020,0.05,Fergus Falls,2007,-,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
July,2004-2020,0.05,Fergus Falls,2007,-,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
August,2004-2020,0.05,Fergus Falls,2007,-,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
September,2004-2020,0.05,Fergus Falls,2007,-,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
October,2004-2020,0.05,Fergus Falls,2007,-,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
November,2004-2020,0.05,Fergus Falls,2007,-,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
December,2004-2020,0.05,Fergus Falls,2007,-,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
Total,2004-2020,0.05,Fergus Falls,2007,-,Otter Tail,111,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
January,2004-2020,0.05,Glenwood,2007,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
February,2004-2020,0.05,Glenwood,2007,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
March,2004-2020,0.05,Glenwood,2007,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
April,2004-2020,0.05,Glenwood,2007,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
May,2004-2020,0.05,Glenwood,2007,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
June,2004-2020,0.05,Glenwood,2007,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
July,2004-2020,0.05,Glenwood,2007,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
August,2004-2020,0.05,Glenwood,2007,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
September,2004-2020,0.05,Glenwood,2007,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
October,2004-2020,0.05,Glenwood,2007,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
November,2004-2020,0.05,Glenwood,2007,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
December,2004-2020,0.05,Glenwood,2007,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
Total,2004-2020,0.05,Glenwood,2007,-,Pope,121,B,Town/rural mix,EDR 4 - West Central,Northwest,WC
January,2004-2020,.05 - .1,Hermantown,2007,110415.97,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
February,2004-2020,.05 - .1,Hermantown,2007,78772.5,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
March,2004-2020,.05 - .1,Hermantown,2007,72486,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
April,2004-2020,.05 - .1,Hermantown,2007,88767.93,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
May,2004-2020,.05 - .1,Hermantown,2007,85734,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
June,2004-2020,.05 - .1,Hermantown,2007,109135.31,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
July,2004-2020,.05 - .1,Hermantown,2007,100345,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
August,2004-2020,.05 - .1,Hermantown,2007,113566.64,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
September,2004-2020,.05 - .1,Hermantown,2007,104586.75,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
October,2004-2020,.05 - .1,Hermantown,2007,97929.22,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
November,2004-2020,.05 - .1,Hermantown,2007,95808.43,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
December,2004-2020,.05 - .1,Hermantown,2007,96530,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
Total,2004-2020,.05 - .1,Hermantown,2007,1154077.75,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
January,2004-2020,0.05,Hutchinson,2007,-,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
February,2004-2020,0.05,Hutchinson,2007,-,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
March,2004-2020,0.05,Hutchinson,2007,-,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
April,2004-2020,0.05,Hutchinson,2007,-,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
May,2004-2020,0.05,Hutchinson,2007,-,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
June,2004-2020,0.05,Hutchinson,2007,-,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
July,2004-2020,0.05,Hutchinson,2007,-,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
August,2004-2020,0.05,Hutchinson,2007,-,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
September,2004-2020,0.05,Hutchinson,2007,-,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
October,2004-2020,0.05,Hutchinson,2007,-,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
November,2004-2020,0.05,Hutchinson,2007,-,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
December,2004-2020,0.05,Hutchinson,2007,-,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
Total,2004-2020,0.05,Hutchinson,2007,-,McLeod,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,SW
January,2004-2020,0.1,International Falls,2007,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
February,2004-2020,0.1,International Falls,2007,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
March,2004-2020,0.1,International Falls,2007,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
April,2004-2020,0.1,International Falls,2007,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
May,2004-2020,0.1,International Falls,2007,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
June,2004-2020,0.1,International Falls,2007,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
July,2004-2020,0.1,International Falls,2007,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
August,2004-2020,0.1,International Falls,2007,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
September,2004-2020,0.1,International Falls,2007,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
October,2004-2020,0.1,International Falls,2007,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
November,2004-2020,0.1,International Falls,2007,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
December,2004-2020,0.1,International Falls,2007,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
Total,2004-2020,0.1,International Falls,2007,-,Koochiching,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
January,2004-2020,0.05,Lanesboro,2007,-,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
February,2004-2020,0.05,Lanesboro,2007,-,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
March,2004-2020,0.05,Lanesboro,2007,-,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
April,2004-2020,0.05,Lanesboro,2007,-,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
May,2004-2020,0.05,Lanesboro,2007,-,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
June,2004-2020,0.05,Lanesboro,2007,-,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
July,2004-2020,0.05,Lanesboro,2007,-,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
August,2004-2020,0.05,Lanesboro,2007,-,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
September,2004-2020,0.05,Lanesboro,2007,-,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
October,2004-2020,0.05,Lanesboro,2007,-,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
November,2004-2020,0.05,Lanesboro,2007,-,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
December,2004-2020,0.05,Lanesboro,2007,-,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
Total,2004-2020,0.05,Lanesboro,2007,-,Fillmore,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
January,2004-2020,0.05,Mankato,2007,444697.33,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
January,2004-2020,0.05,Mankato,2007,444697.33,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
February,2004-2020,0.05,Mankato,2007,290633.34000000003,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
February,2004-2020,0.05,Mankato,2007,290633.34000000003,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
March,2004-2020,0.05,Mankato,2007,273446.46999999997,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
March,2004-2020,0.05,Mankato,2007,273446.46999999997,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
April,2004-2020,0.05,Mankato,2007,342663.54,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
April,2004-2020,0.05,Mankato,2007,342663.54,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
May,2004-2020,0.05,Mankato,2007,322414.11,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
May,2004-2020,0.05,Mankato,2007,322414.11,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
June,2004-2020,0.05,Mankato,2007,344156.49,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
June,2004-2020,0.05,Mankato,2007,344156.49,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
July,2004-2020,0.05,Mankato,2007,304044.68,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
July,2004-2020,0.05,Mankato,2007,304044.68,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
August,2004-2020,0.05,Mankato,2007,372407.79,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
August,2004-2020,0.05,Mankato,2007,372407.79,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
September,2004-2020,0.05,Mankato,2007,356363.1,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
September,2004-2020,0.05,Mankato,2007,356363.1,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
October,2004-2020,0.05,Mankato,2007,359725.99,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
October,2004-2020,0.05,Mankato,2007,359725.99,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
November,2004-2020,0.05,Mankato,2007,347316.47999999998,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
November,2004-2020,0.05,Mankato,2007,347316.47999999998,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
December,2004-2020,0.05,Mankato,2007,343938.32,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
December,2004-2020,0.05,Mankato,2007,343938.32,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
Total,2004-2020,0.05,Mankato,2007,4101807.6399999997,Blue Earth,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE
Total,2004-2020,0.05,Mankato,2007,4101807.6399999997,Nicollet,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,SE
January,2004-2020,0.05,Marshall,2007,-,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
February,2004-2020,0.05,Marshall,2007,-,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
March,2004-2020,0.05,Marshall,2007,-,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
April,2004-2020,0.05,Marshall,2007,-,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
May,2004-2020,0.05,Marshall,2007,-,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
June,2004-2020,0.05,Marshall,2007,-,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
July,2004-2020,0.05,Marshall,2007,-,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
August,2004-2020,0.05,Marshall,2007,-,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
September,2004-2020,0.05,Marshall,2007,-,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
October,2004-2020,0.05,Marshall,2007,-,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
November,2004-2020,0.05,Marshall,2007,-,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
December,2004-2020,0.05,Marshall,2007,-,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
Total,2004-2020,0.05,Marshall,2007,-,Lyon,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
January,2004-2020,0.05,Medford,2007,-,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
February,2004-2020,0.05,Medford,2007,-,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
March,2004-2020,0.05,Medford,2007,-,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
April,2004-2020,0.05,Medford,2007,-,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
May,2004-2020,0.05,Medford,2007,-,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
June,2004-2020,0.05,Medford,2007,-,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
July,2004-2020,0.05,Medford,2007,-,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
August,2004-2020,0.05,Medford,2007,-,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
September,2004-2020,0.05,Medford,2007,-,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
October,2004-2020,0.05,Medford,2007,-,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
November,2004-2020,0.05,Medford,2007,-,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
December,2004-2020,0.05,Medford,2007,-,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
Total,2004-2020,0.05,Medford,2007,-,Steele,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
January,2004-2020,0.05,Minneapolis,2007,2581450.2599999998,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
January,2004-2020,0.05,Minneapolis,2007,2581450.2599999998,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
February,2004-2020,0.05,Minneapolis,2007,2088663.24,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
February,2004-2020,0.05,Minneapolis,2007,2088663.24,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
March,2004-2020,0.05,Minneapolis,2007,2191595.79,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
March,2004-2020,0.05,Minneapolis,2007,2191595.79,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
April,2004-2020,0.05,Minneapolis,2007,2434056.86,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
April,2004-2020,0.05,Minneapolis,2007,2434056.86,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
May,2004-2020,0.05,Minneapolis,2007,2070405.38,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
May,2004-2020,0.05,Minneapolis,2007,2070405.38,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
June,2004-2020,0.05,Minneapolis,2007,2600737.35,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
June,2004-2020,0.05,Minneapolis,2007,2600737.35,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
July,2004-2020,0.05,Minneapolis,2007,1993371.93,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
July,2004-2020,0.05,Minneapolis,2007,1993371.93,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
August,2004-2020,0.05,Minneapolis,2007,2708228.82,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
August,2004-2020,0.05,Minneapolis,2007,2708228.82,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
September,2004-2020,0.05,Minneapolis,2007,2094169.64,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
September,2004-2020,0.05,Minneapolis,2007,2094169.64,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
October,2004-2020,0.05,Minneapolis,2007,2212026.5699999998,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
October,2004-2020,0.05,Minneapolis,2007,2212026.5699999998,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
November,2004-2020,0.05,Minneapolis,2007,2373174.88,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
November,2004-2020,0.05,Minneapolis,2007,2373174.88,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
December,2004-2020,0.05,Minneapolis,2007,2170796.79,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
December,2004-2020,0.05,Minneapolis,2007,2170796.79,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
Total,2004-2020,0.05,Minneapolis,2007,27518677.509999998,Anoka,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
Total,2004-2020,0.05,Minneapolis,2007,27518677.509999998,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
January,2004-2020,0.05,Moose Lake,2007,-,Carlton,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
February,2004-2020,0.05,Moose Lake,2007,-,Carlton,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
March,2004-2020,0.05,Moose Lake,2007,-,Carlton,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
April,2004-2020,0.05,Moose Lake,2007,-,Carlton,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
May,2004-2020,0.05,Moose Lake,2007,-,Carlton,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
June,2004-2020,0.05,Moose Lake,2007,-,Carlton,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
July,2004-2020,0.05,Moose Lake,2007,-,Carlton,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
August,2004-2020,0.05,Moose Lake,2007,-,Carlton,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
September,2004-2020,0.05,Moose Lake,2007,-,Carlton,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
October,2004-2020,0.05,Moose Lake,2007,-,Carlton,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
November,2004-2020,0.05,Moose Lake,2007,-,Carlton,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
December,2004-2020,0.05,Moose Lake,2007,-,Carlton,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
Total,2004-2020,0.05,Moose Lake,2007,-,Carlton,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
January,2004-2020,0.05,New London,2007,-,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
February,2004-2020,0.05,New London,2007,-,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
March,2004-2020,0.05,New London,2007,-,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
April,2004-2020,0.05,New London,2007,-,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
May,2004-2020,0.05,New London,2007,-,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
June,2004-2020,0.05,New London,2007,-,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
July,2004-2020,0.05,New London,2007,-,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
August,2004-2020,0.05,New London,2007,-,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
September,2004-2020,0.05,New London,2007,-,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
October,2004-2020,0.05,New London,2007,-,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
November,2004-2020,0.05,New London,2007,-,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
December,2004-2020,0.05,New London,2007,-,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
Total,2004-2020,0.05,New London,2007,-,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
January,2004-2020,0.05,New Ulm,2007,84062.31,Brown,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
February,2004-2020,0.05,New Ulm,2007,60549.15,Brown,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
